timestamp_utc,location,last_count,status,is_closed,updated
2025-01-30T11:11:21.648562,SquashBusters - 4th Floor,3,(Open),False,01/30/2025 06:04 AM
2025-01-30T11:11:21.648562,Marino Center - Studio A,0,(Open),False,01/30/2025 06:04 AM
2025-01-30T11:11:21.648562,Marino Center - Studio B,1,(Open),False,01/30/2025 06:04 AM
2025-01-30T11:11:21.648562,Marino Center - 2nd Floor,19,(Open),False,01/30/2025 06:04 AM
2025-01-30T11:11:21.648562,Marino Center - Gymnasium,1,(Open),False,01/30/2025 06:04 AM
2025-01-30T11:11:21.648562,Marino Center - 3rd Floor Weight Room,27,(Open),False,01/30/2025 05:59 AM
2025-01-30T11:11:21.648562,Marino Center - 3rd Floor Select & Cardio,14,(Open),False,01/30/2025 05:59 AM
2025-01-30T12:24:49.404299,SquashBusters - 4th Floor,32,(Open),False,01/30/2025 07:15 AM
2025-01-30T12:24:49.404299,Marino Center - Studio A,2,(Open),False,01/30/2025 07:03 AM
2025-01-30T12:24:49.404299,Marino Center - Studio B,2,(Open),False,01/30/2025 07:03 AM
2025-01-30T12:24:49.404299,Marino Center - 2nd Floor,24,(Open),False,01/30/2025 07:03 AM
2025-01-30T12:24:49.404299,Marino Center - Gymnasium,3,(Open),False,01/30/2025 07:03 AM
2025-01-30T12:24:49.404299,Marino Center - 3rd Floor Weight Room,26,(Open),False,01/30/2025 07:03 AM
2025-01-30T12:24:49.404299,Marino Center - 3rd Floor Select & Cardio,30,(Open),False,01/30/2025 07:03 AM
2025-01-30T13:18:48.390682,SquashBusters - 4th Floor,22,(Open),False,01/30/2025 07:51 AM
2025-01-30T13:18:48.390682,Marino Center - Studio A,6,(Open),False,01/30/2025 07:59 AM
2025-01-30T13:18:48.390682,Marino Center - Studio B,2,(Open),False,01/30/2025 07:59 AM
2025-01-30T13:18:48.390682,Marino Center - 2nd Floor,54,(Open),False,01/30/2025 07:59 AM
2025-01-30T13:18:48.390682,Marino Center - Gymnasium,1,(Open),False,01/30/2025 07:59 AM
2025-01-30T13:18:48.390682,Marino Center - 3rd Floor Weight Room,26,(Open),False,01/30/2025 07:03 AM
2025-01-30T13:18:48.390682,Marino Center - 3rd Floor Select & Cardio,30,(Open),False,01/30/2025 07:03 AM
2025-01-30T14:12:21.257466,SquashBusters - 4th Floor,30,(Open),False,01/30/2025 08:39 AM
2025-01-30T14:12:21.257466,Marino Center - Studio A,9,(Open),False,01/30/2025 09:00 AM
2025-01-30T14:12:21.257466,Marino Center - Studio B,11,(Open),False,01/30/2025 09:00 AM
2025-01-30T14:12:21.257466,Marino Center - 2nd Floor,58,(Open),False,01/30/2025 08:58 AM
2025-01-30T14:12:21.257466,Marino Center - Gymnasium,4,(Open),False,01/30/2025 08:58 AM
2025-01-30T14:12:21.257466,Marino Center - 3rd Floor Weight Room,26,(Open),False,01/30/2025 07:03 AM
2025-01-30T14:12:21.257466,Marino Center - 3rd Floor Select & Cardio,30,(Open),False,01/30/2025 07:03 AM
2025-01-30T15:13:35.560237,SquashBusters - 4th Floor,28,(Open),False,01/30/2025 09:36 AM
2025-01-30T15:13:35.560237,Marino Center - Studio A,3,(Open),False,01/30/2025 10:03 AM
2025-01-30T15:13:35.560237,Marino Center - Studio B,24,(Open),False,01/30/2025 10:03 AM
2025-01-30T15:13:35.560237,Marino Center - 2nd Floor,60,(Open),False,01/30/2025 10:03 AM
2025-01-30T15:13:35.560237,Marino Center - Gymnasium,4,(Open),False,01/30/2025 10:03 AM
2025-01-30T15:13:35.560237,Marino Center - 3rd Floor Weight Room,34,(Open),False,01/30/2025 10:00 AM
2025-01-30T15:13:35.560237,Marino Center - 3rd Floor Select & Cardio,45,(Open),False,01/30/2025 10:00 AM
2025-01-30T16:15:52.805972,SquashBusters - 4th Floor,29,(Open),False,01/30/2025 10:53 AM
2025-01-30T16:15:52.805972,Marino Center - Studio A,7,(Open),False,01/30/2025 11:05 AM
2025-01-30T16:15:52.805972,Marino Center - Studio B,6,(Open),False,01/30/2025 11:05 AM
2025-01-30T16:15:52.805972,Marino Center - 2nd Floor,53,(Open),False,01/30/2025 11:05 AM
2025-01-30T16:15:52.805972,Marino Center - Gymnasium,6,(Open),False,01/30/2025 11:05 AM
2025-01-30T16:15:52.805972,Marino Center - 3rd Floor Weight Room,43,(Open),False,01/30/2025 10:59 AM
2025-01-30T16:15:52.805972,Marino Center - 3rd Floor Select & Cardio,48,(Open),False,01/30/2025 10:59 AM
2025-01-30T17:11:39.538483,SquashBusters - 4th Floor,54,(Open),False,01/30/2025 12:03 PM
2025-01-30T17:11:39.538483,Marino Center - Studio A,18,(Open),False,01/30/2025 12:06 PM
2025-01-30T17:11:39.538483,Marino Center - Studio B,14,(Open),False,01/30/2025 12:06 PM
2025-01-30T17:11:39.538483,Marino Center - 2nd Floor,57,(Open),False,01/30/2025 12:06 PM
2025-01-30T17:11:39.538483,Marino Center - Gymnasium,9,(Open),False,01/30/2025 12:06 PM
2025-01-30T17:11:39.538483,Marino Center - 3rd Floor Weight Room,41,(Open),False,01/30/2025 11:57 AM
